iter	Passed	Remaining
0	0	73
1	1	63
2	1	59
3	2	58
4	3	57
5	3	55
6	4	54
7	4	54
8	5	53
9	5	52
10	6	51
11	6	51
12	7	50
13	8	50
14	8	49
15	9	49
16	10	48
17	10	48
18	11	47
19	11	46
20	12	46
21	13	46
22	13	45
23	14	45
24	15	45
25	15	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	41
31	19	41
32	20	40
33	20	39
34	21	39
35	21	38
36	22	38
37	23	37
38	23	36
39	24	36
40	24	35
41	25	35
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	57	2
96	58	1
97	59	1
98	59	0
99	60	0
